ringNumber,crackLength,crackWidth,radiusOfCurvature,segmentDislocation,settlementRate,convergenceDeformation,leakageRate
395,2.22,0.76,12343.27,3.74,3.57,7.19,й╙ву
396,1.08,1.94,17936.91,2.15,4.05,3.47,й╙ву
397,3.72,1.1,17425.41,1.78,3.96,6.77,й╙ву
398,2.59,0.71,18169.65,4.4,4.85,7.28,╣нк╝
399,2.63,1.17,13492.44,6.32,4.46,3.56,╣нк╝
400,2.3,0.9,13558.91,5.67,5.46,7.04,й╙ву
401,0.65,1.82,12506.56,9.37,5.46,5.98,╣нк╝
402,1.94,1.39,13628.42,3.21,2.84,7.52,й╙ву
403,1.66,1.14,17975.27,6.91,8.37,7.61,╣нк╝
404,2.21,1.09,17221.22,4.74,2.4,3.25,й╙ву
405,1.85,0.97,12322.59,3.48,3.99,5.1,╣нк╝
406,3.31,1.23,16619.89,6.39,2.01,3.58,й╙ву
407,2.49,0.96,17385.16,4.21,1.45,2.06,й╙ву
408,1.17,0.94,15069.15,6.71,4.67,5.86,й╙ву
409,2.11,1.13,17591.21,7.75,4.72,7.24,й╙ву
410,3.09,1.46,16869.48,4.2,4.66,4.67,й╙ву
411,1.02,0.48,12162.77,2.81,5.19,6.59,╣нк╝
412,0.74,0.88,15105.03,6.87,11.35,9.7,й╙ву
413,2.66,1.24,12420.94,1.89,5.8,1.3,й╙ву
414,1.68,1.69,15796.48,3.31,2.26,4.44,й╙ву
415,1.91,1.69,14433.07,4.12,5.78,7.3,й╙ву
416,0.83,1.78,15001.24,7.61,5.42,1.85,╣нк╝
417,3.11,1.22,16572.92,1.16,6.22,0.89,й╙ву
418,2.24,1.53,18040.32,2.85,4.8,5.15,╣нк╝
419,3.25,1.23,12427.98,3.46,5.7,6.23,╣нк╝
420,3.55,0.57,16648.06,5.1,8.14,3.23,й╙ву
421,2.29,1.08,14686.68,4.84,3.64,4.08,й╙ву
422,1.05,1.07,12186.41,2.34,2.53,5.39,й╙ву
423,2.3,1.27,18714.84,8.57,4.4,5.46,й╙ву
424,0.66,0.88,15885.76,4.72,5.72,1.6,╣нк╝
425,1.02,1.12,12749.3,1.91,2.88,3.67,й╙ву
426,2.11,1.46,15071.79,6.42,9.89,4.67,й╙ву
427,2.83,1.08,18861.26,4.92,5.1,7.77,й╙ву
428,1.3,1.07,15997.32,1.41,10.14,5.37,й╙ву
429,2.66,0.74,12672.33,10.07,2.27,6.27,й╙ву
430,1.2,1.9,18911.4,4.08,4.3,7.36,╣нк╝
431,2.61,0.91,12471.73,8.5,6.36,2.58,╣нк╝
