ringNumber,crackLength,crackWidth,radiusOfCurvature,segmentDislocation,settlementRate,convergenceDeformation,leakageRate
376,2.91,0.3,16468.37,4.58,4.98,7.91,й╙ву
377,0.45,0.06,17498.45,6.7,6.4,5.06,й╙ву
378,0.97,0.15,15542.52,1.25,2.63,2.57,й╙ву
379,1.96,0.71,18516.83,3.61,2.15,6.88,й╙ву
380,1.43,0.83,14492.8,3.82,1.35,4.29,╣нк╝
381,2.2,0.97,18308.41,5.43,9.0,7.75,й╙ву
382,2.7,0.54,14490.18,0.07,3.96,3.98,й╙ву
383,0.5,0.73,16489.75,11.9,0.46,1.58,й╙ву
384,1.68,0.56,16685.94,7.68,5.07,4.95,╣нк╝
385,2.8,0.7,17743.32,5.49,4.69,6.82,й╙ву
386,2.45,0.41,16377.48,1.85,1.29,4.41,й╙ву
387,0.53,0.87,17435.25,3.99,4.25,4.85,й╙ву
388,0.53,0.01,18165.67,1.21,1.64,7.27,╣нк╝
389,0.41,0.32,18017.87,3.79,1.61,0.7,й╙ву
390,0.25,0.01,13407.42,3.79,1.93,7.48,й╙ву
391,2.81,0.6,14917.22,6.75,1.77,6.97,й╙ву
392,1.66,0.73,16844.37,2.97,6.47,8.34,й╙ву
393,1.63,0.56,16846.74,0.4,7.78,5.26,й╙ву
394,2.37,0.79,18626.94,1.12,3.37,2.51,й╙ву
395,1.04,0.26,17988.55,1.78,0.79,6.67,й╙ву
396,0.28,0.85,13294.77,0.47,1.36,2.82,й╙ву
397,2.86,0.42,18189.09,0.09,2.82,6.32,й╙ву
398,1.56,0.47,17053.68,2.45,3.92,6.26,й╙ву
399,1.85,0.2,17566.45,3.91,3.32,2.55,╣нк╝
400,1.31,0.36,16036.03,3.63,4.2,6.13,й╙ву
401,0.19,0.95,17426.12,7.7,3.8,5.18,й╙ву
402,1.46,0.95,15073.48,2.23,1.7,6.76,й╙ву
403,0.51,0.12,16888.26,4.5,6.91,7.17,╣нк╝
404,1.02,0.51,17643.52,2.56,0.37,2.4,й╙ву
405,0.74,0.54,14350.57,2.1,1.96,4.66,й╙ву
406,2.55,0.02,18349.61,3.97,0.6,3.09,й╙ву
407,1.82,0.53,13784.26,2.78,0.39,1.13,й╙ву
408,0.64,0.16,14105.6,5.07,2.45,5.35,й╙ву
409,1.61,0.75,16518.51,5.92,3.13,6.42,й╙ву
410,2.21,0.7,16373.77,2.99,3.25,4.05,й╙ву
411,0.24,0.06,18966.18,1.66,2.39,5.5,╣нк╝
412,0.22,0.13,13617.49,5.77,8.96,9.15,й╙ву
413,1.85,0.42,14884.64,0.73,3.53,0.78,й╙ву
414,0.64,0.93,16862.22,2.26,0.52,4.04,й╙ву
415,0.92,0.57,16570.74,2.92,3.62,6.71,й╙ву
416,0.07,0.53,15152.3,6.61,3.64,0.77,╣нк╝
417,2.13,0.89,16568.64,0.28,4.34,0.58,й╙ву
418,1.69,0.86,18259.48,0.99,3.46,4.48,╣нк╝
419,2.58,0.55,14588.21,1.95,4.9,5.05,й╙ву
420,2.64,0.16,14123.99,3.55,6.7,2.81,й╙ву
421,1.19,0.61,17867.46,3.31,1.72,3.4,й╙ву
422,0.11,0.65,16728.66,0.92,1.15,4.72,й╙ву
423,1.72,0.04,16514.77,6.28,3.35,5.07,й╙ву
424,0.17,0.53,17750.85,3.52,4.85,0.58,╣нк╝
425,0.07,0.34,16983.12,0.62,0.9,3.33,й╙ву
426,1.5,0.8,15104.7,5.12,9.08,3.63,й╙ву
427,2.68,0.21,15202.42,2.81,3.15,7.36,й╙ву
428,0.62,0.36,18052.39,0.51,8.2,4.94,й╙ву
429,1.65,0.11,13199.97,7.94,0.09,5.46,й╙ву
430,0.51,0.96,13834.26,2.94,1.51,6.98,╣нк╝
431,2.01,0.13,16091.08,6.75,4.74,1.75,╣нк╝
