ringNumber,crackLength,crackWidth,radiusOfCurvature,segmentDislocation,settlementRate,convergenceDeformation,leakageRate
372,1.52,0.38,14466.69,1.72,4.84,3.62,й╙ву
373,1.92,1.2,13729.61,2.16,2.74,4.43,й╙ву
374,2.19,0.55,16266.93,3.63,4.41,1.66,й╙ву
375,0.65,0.86,15806.93,3.45,1.99,2.73,й╙ву
376,3.2,0.42,15233.52,5.51,5.58,8.13,й╙ву
377,0.53,0.09,14493.57,7.31,7.4,5.08,й╙ву
378,1.26,0.26,15660.04,2.19,2.83,2.81,й╙ву
379,2.01,0.95,13594.34,3.95,2.61,7.3,й╙ву
380,1.69,0.93,14371.94,3.85,2.26,4.45,╣нк╝
381,2.34,1.29,18743.44,5.78,9.08,8.1,й╙ву
382,2.9,0.96,15650.11,0.12,4.09,4.33,╣нк╝
383,0.63,1.08,12637.98,12.43,0.68,1.93,й╙ву
384,2.01,1.02,14619.69,7.74,5.78,5.17,╣нк╝
385,2.92,1.1,13100.23,6.48,4.72,6.94,й╙ву
386,2.58,0.68,18738.93,2.32,1.49,4.52,й╙ву
387,0.92,1.12,16767.05,4.43,5.03,5.19,й╙ву
388,0.93,0.35,18742.02,2.11,1.99,7.31,╣нк╝
389,0.62,0.74,13483.03,3.88,1.79,0.73,й╙ву
390,0.31,0.27,17047.45,3.88,2.17,7.81,й╙ву
391,3.01,1.07,16797.06,6.88,2.63,7.24,й╙ву
392,2.13,0.99,13686.26,3.15,7.39,8.65,й╙ву
393,1.87,0.86,13338.98,1.16,8.65,5.3,й╙ву
394,2.53,1.25,17470.34,1.69,4.26,2.71,й╙ву
395,1.49,0.6,12476.71,2.03,1.64,6.73,й╙ву
396,0.52,1.07,16090.96,0.88,2.21,2.99,й╙ву
397,3.33,0.53,17353.97,1.01,3.05,6.62,й╙ву
398,1.81,0.57,13884.7,3.37,4.03,6.32,й╙ву
399,2.06,0.57,12196.1,4.85,3.41,2.78,╣нк╝
400,1.72,0.48,16726.04,4.17,4.89,6.61,й╙ву
401,0.42,1.26,17229.15,8.15,4.12,5.28,╣нк╝
402,1.74,1.13,16642.52,2.34,1.89,7.17,й╙ву
403,0.85,0.45,13152.43,5.48,7.73,7.25,╣нк╝
404,1.42,0.71,13639.17,2.77,1.16,2.88,й╙ву
405,1.24,0.73,13249.75,2.25,2.83,4.69,й╙ву
406,2.91,0.46,17127.62,4.82,0.95,3.34,й╙ву
407,2.21,0.54,16924.72,3.1,0.85,1.5,й╙ву
408,0.86,0.61,16087.95,5.65,3.08,5.64,й╙ву
409,1.69,0.77,14025.37,6.83,3.28,6.71,й╙ву
410,2.44,0.76,14406.82,3.14,3.57,4.29,й╙ву
411,0.44,0.1,17102.45,1.72,3.32,5.81,╣нк╝
412,0.39,0.51,18835.59,6.28,9.77,9.4,й╙ву
413,2.31,0.79,14431.66,0.96,4.52,0.89,й╙ву
414,0.9,1.31,15118.55,2.32,1.15,4.2,й╙ву
415,1.23,0.94,18869.78,3.67,4.12,7.07,й╙ву
416,0.44,0.9,17017.92,7.42,4.36,1.08,╣нк╝
417,2.47,1.07,16721.09,0.31,4.45,0.78,й╙ву
418,1.73,1.14,18595.04,1.48,3.66,4.62,╣нк╝
419,2.97,0.9,18435.29,2.36,5.2,5.55,й╙ву
420,3.08,0.2,12294.99,4.41,6.85,3.19,й╙ву
421,1.67,0.63,14113.19,3.77,2.27,3.52,й╙ву
422,0.52,0.74,17057.34,1.83,1.37,4.86,й╙ву
423,2.02,0.39,16210.57,6.81,4.25,5.17,й╙ву
424,0.5,0.64,15253.89,4.2,4.92,0.84,╣нк╝
425,0.17,0.78,15120.74,0.64,1.45,3.48,й╙ву
426,1.64,0.9,15595.5,5.58,9.15,3.89,й╙ву
427,2.74,0.32,15108.88,3.78,3.69,7.5,й╙ву
428,0.77,0.61,17805.78,1.24,8.53,4.96,й╙ву
429,2.11,0.21,14637.6,8.67,0.96,5.6,й╙ву
430,0.68,1.45,17910.36,3.46,2.51,7.13,╣нк╝
431,2.02,0.43,14690.29,7.43,4.87,2.12,╣нк╝
