ringNumber,crackLength,crackWidth,radiusOfCurvature,segmentDislocation,settlementRate,convergenceDeformation,leakageRate
674,1.63,1.16,16461.5,2.33,4.04,4.5,滴水
675,3.19,1.04,17857.55,2.51,3.31,3.54,湿渍
676,2.11,0.33,13352.53,2.43,7.5,8.31,湿渍
677,1.01,1.16,16620.79,2.28,3.15,4.97,滴水
678,2.59,1.52,18786.6,1.96,9.2,8.62,湿渍
679,1.49,0.77,17488.74,4.59,4.58,3.67,湿渍
680,1.6,0.9,12960.59,1.22,4.1,3.02,滴水
681,1.32,0.77,17343.04,1.74,2.55,4.71,湿渍
682,1.72,0.66,15257.47,3.59,4.01,5.25,湿渍
683,0.56,0.17,12613.09,1.21,2.34,1.09,湿渍
684,2.78,0.33,13808.87,4.13,1.47,5.47,湿渍
685,2.11,0.81,13908.57,2.45,10.66,1.21,湿渍
686,0.97,0.47,15616.7,1.37,2.94,0.89,湿渍
687,0.79,1.19,14186.82,2.06,5.04,6.39,滴水
688,1.53,0.68,14390.4,0.94,4.93,6.25,湿渍
689,3.28,0.42,14062.51,4.31,2.81,1.52,湿渍
690,3.04,0.79,14886.55,2.58,0.68,4.19,湿渍
691,2.56,0.61,12731.1,4.21,4.98,2.76,湿渍
692,3.17,0.98,18636.01,2.46,3.51,1.94,滴水
693,1.82,0.37,12793.14,11.18,15.01,5.96,湿渍
694,0.52,1.38,13300.99,2.41,3.08,2.73,湿渍
695,3.02,0.72,16671.06,2.78,4.24,2.03,湿渍
696,0.85,0.89,17354.09,2.16,4.61,1.5,湿渍
697,2.13,1.04,16400.95,4.47,2.92,6.9,湿渍
698,1.17,0.47,14186.79,4.13,3.86,0.61,湿渍
699,3.1,0.8,15989.01,3.56,3.63,3.7,滴水
700,1.8,0.45,14066.5,0.91,4.11,0.34,湿渍
701,3.01,0.69,18904.38,2.04,2.91,5.97,滴水
702,3.1,0.75,18085.16,1.67,1.35,5.06,滴水
703,1.5,0.68,13162.72,2.53,1.59,6.08,湿渍
704,1.52,0.77,15115.23,1.45,3.81,5.07,湿渍
705,1.78,0.83,16228.15,0.8,2.23,3.89,湿渍
706,1.44,0.52,16836.4,0.84,4.02,9.08,湿渍
707,0.86,0.71,17226.66,0.96,2.46,7.77,湿渍
708,1.55,0.94,13712.17,1.81,2.85,5.67,湿渍
709,2.14,0.67,18627.23,4.6,4.04,5.23,滴水
710,1.55,0.86,14517.47,11.38,7.45,12.4,湿渍
711,2.88,0.52,13647.58,4.27,5.36,3.26,湿渍
712,3.07,1.21,18904.3,4.53,3.52,1.59,滴水
713,1.37,0.82,14437.95,3.73,0.91,5.71,湿渍
714,1.24,1.09,17186.39,3.78,1.68,4.41,湿渍
715,2.08,1.13,16244.08,1.5,2.72,6.46,滴水
716,0.72,0.52,14922.94,3.46,5.53,8.61,湿渍
717,2.36,0.51,17960.5,4.72,2.45,4.58,湿渍
718,2.52,1.29,13472.28,1.35,6.14,2.33,滴水
719,2.74,0.67,15928.24,0.69,3.92,3.86,滴水
720,2.19,0.21,13390.47,7.72,7.34,4.31,滴水
721,1.76,0.54,14581.15,5.49,3.69,6.68,湿渍
722,2.91,0.54,14966.25,1.24,1.0,6.63,湿渍
723,0.93,0.43,18950.95,3.36,6.95,2.09,滴水
724,2.53,1.16,18119.57,7.71,5.99,2.19,湿渍
725,3.09,1.04,18548.55,4.36,0.89,3.13,湿渍
726,3.47,0.83,18234.68,6.58,4.72,6.57,滴水
727,1.31,1.01,18137.22,3.37,9.76,0.53,湿渍
728,2.62,1.03,14781.82,2.87,5.42,5.4,湿渍
729,2.12,0.96,15751.74,2.71,3.4,4.62,湿渍
730,3.1,0.24,15682.69,5.16,2.56,8.05,湿渍
731,0.51,1.4,18323.84,4.29,2.85,9.05,湿渍
