ringNumber,crackLength,crackWidth,radiusOfCurvature,segmentDislocation,settlementRate,convergenceDeformation,leakageRate
675,2.97,0.68,16188.6,1.97,3.14,3.47,湿渍
676,1.86,0.02,17667.39,2.43,7.21,8.11,湿渍
677,0.55,0.84,13466.7,2.1,2.79,4.7,滴水
678,2.4,1.21,12310.31,1.71,8.44,8.44,湿渍
679,1.18,0.63,12934.95,4.41,4.35,3.53,湿渍
680,1.24,0.67,13885.71,0.81,3.44,2.81,滴水
681,1.06,0.64,17286.67,1.17,2.03,4.4,湿渍
682,1.43,0.43,13113.31,3.05,3.34,4.84,湿渍
683,0.28,0.0,16818.92,0.64,1.8,0.7,湿渍
684,2.68,0.26,14525.91,3.26,0.6,5.16,湿渍
685,1.83,0.4,14847.6,2.09,10.32,0.99,湿渍
686,0.6,0.33,13639.94,0.6,2.52,0.6,湿渍
687,0.52,0.93,13991.37,1.67,4.28,6.15,湿渍
688,1.18,0.42,14605.62,0.51,4.39,6.13,湿渍
689,3.09,0.19,18680.3,3.42,2.37,1.08,湿渍
690,2.68,0.58,17868.15,2.34,0.33,3.87,湿渍
691,2.31,0.42,16753.11,3.67,4.37,2.46,湿渍
692,2.76,0.77,12298.64,1.8,2.87,1.65,滴水
693,1.67,0.13,14902.75,10.78,14.2,5.71,湿渍
694,0.34,1.03,13348.38,1.99,2.74,2.46,湿渍
695,2.82,0.43,17748.29,2.08,3.65,1.9,湿渍
696,0.58,0.63,18535.64,1.64,4.34,1.42,湿渍
697,2.02,0.81,12049.05,4.04,2.29,6.55,湿渍
698,0.92,0.13,16870.88,3.61,3.8,0.32,湿渍
699,2.77,0.34,13103.52,3.32,2.97,3.43,滴水
700,1.46,0.09,16464.39,0.48,3.49,0.19,湿渍
701,2.76,0.36,18036.22,1.73,2.13,5.68,湿渍
702,2.97,0.58,13460.94,1.13,0.62,4.84,滴水
703,1.25,0.32,13520.4,2.22,1.0,5.8,湿渍
704,1.31,0.62,15917.59,0.6,3.51,4.91,湿渍
705,1.55,0.67,15013.19,0.26,1.32,3.69,湿渍
706,1.2,0.27,14249.06,0.64,3.61,8.9,湿渍
707,0.57,0.39,15223.21,0.71,1.63,7.41,湿渍
708,1.21,0.72,16477.36,1.39,2.39,5.49,湿渍
709,2.07,0.3,18233.35,4.12,3.63,4.88,滴水
710,1.35,0.55,15818.44,10.78,7.2,12.19,湿渍
711,2.71,0.2,16407.24,3.56,4.98,3.15,湿渍
712,2.78,0.92,18062.33,3.85,3.16,1.44,滴水
713,1.13,0.5,14996.4,3.04,0.38,5.43,湿渍
714,0.8,0.76,12329.36,3.51,0.85,4.25,湿渍
715,1.77,0.85,18789.79,0.84,2.67,6.25,湿渍
716,0.62,0.32,18999.6,2.73,5.21,8.44,湿渍
717,2.28,0.39,14051.21,3.79,1.92,4.18,湿渍
718,2.35,1.1,18706.68,0.66,5.6,2.15,滴水
719,2.52,0.47,12354.08,0.17,3.59,3.47,滴水
720,2.08,0.09,17730.35,7.27,6.49,3.93,滴水
721,1.31,0.4,13663.91,4.82,2.82,6.38,湿渍
722,2.64,0.21,18367.63,0.64,0.47,6.31,湿渍
723,0.89,0.16,12997.44,3.17,6.55,1.8,滴水
724,2.24,0.72,16031.41,7.34,5.48,1.99,湿渍
725,3.02,0.67,15748.04,3.87,0.38,3.03,湿渍
726,3.13,0.56,16757.85,6.06,4.57,6.32,滴水
727,1.06,0.89,12276.42,3.08,9.32,0.33,湿渍
728,2.46,0.73,16586.07,2.04,4.69,5.05,湿渍
729,1.93,0.87,17765.46,2.27,3.13,4.33,湿渍
730,2.78,0.08,17728.18,4.36,2.02,7.91,湿渍
731,0.37,1.15,16245.04,3.54,2.3,8.89,湿渍
